#
# Source: <https://cabletags.wordpress.com/wikileaks-cable-organization-tags/>
# 
#
# Removed acc. to <http://www.state.gov/documents/organization/89258.pdf>
#   AID 	International Cooperation Administration
#   BQG 	Bonn Quadripartite Group
#   BQG 	Bonngroup
#   CDG 	Conference of Committee on Disarmament
#   CEP 	Civil Emergency Planning Committee Senior Civil Emergency Planning Committee
#   CEMA 	CMEA
#   CEMA 	COMECON
#   CITEL 	Inter-American Telecommunications Commission
#   Colombo Plan 	CPCTC
#   ECA 	UN Economic Commission for Africa
#   ECA 	Economic Commission for Africa (UN)
#   EUN 	Communaute Economique Europeene
#   EUN 	European Common Market
#   EUN 	European Communities
#   EUN 	European Economic Community
#   EUN 	European Union
#   EUN 	Marche Commun European
#   EUN 	European Economic Community AKA European Common Market
#   SWAPO 	Southwest Africa Peoples’ Organization
#   UNPUOS 	UN Committee on Peaceful Uses of Outer Space & UN Outer Space Committee
#   UNPUOS 	UN Outer Space Committee
#   UNTC 	UN Trusteeship Council
#   UNTERR 	UN Committee on International Terrorism
#   UNTERR 	Terrorism Committee (UN)
#   WCL 	International Federation of Christian World Confederation of
#   WCL 	International Federation of Christian Trade Unions
#   WCL 	World Confederation of Labor
AAA 	American Automobile Association
AAFLI 	Asian American Free Labor Institute
AAI 	African American Institute
AALC 	African American Labor Center
ABA 	American Bar Association
ABC 	American Broadcasting Company
ABMC 	American Battle Monuments Commission
ACABQ 	UN Advisory Committee on Administration and Budget Questions
ACTU 	Australian Labor Union
ADB 	Asian Development Bank
ADB-1 	Association for the Advancement of International Education
ADF 	African Development Foundation
ADPSEC 	Automatic Data Processing Security
AEC 	Atomic Energy Commission
AEDF 	Asian Economic Development Fund
AER LINGUS 	Irish Airline
AEROFLOT 	Soviet Airline
AEROLINEAS ARGENTINAS 	Argentine Airline
AEROPERU 	National Airline of Peru
AFDB 	African Development Bank
AFDF 	African Development Fund
AFL-CIO 	American Federation of Labor-Congress of Industrial Organizations
AFP 	Agence France Press
AFSA 	American Foreign Service Association
AGR 	Department of Agriculture
AI 	Amnesty International
AID 	Agency for International Development
AIFLD 	American Institute for Free Labor Development
AKB 	Allied Kommandatura Berlin
AL 	Arab League
AL-1 	Arab League
ALIA 	Royal Jordanian Airline
Alitalia 	Italian Airline
ALP 	Australian Labor Party
AMAL 	Movement of the Deprived (Sh’a Muslim Militia Organization)
AMAX 	American Metals Climax Inc
AMCHAMS 	American Chambers of Commerce
AMOCO 	American Oil Company
